,FootNote,FMP,Common.Name,Species.Name,Author,Title,Journal,Volume,Number,Pages,Year,URL,Editors,Publisher
193,118,Shrimp,Brown Shrimp,Penaeus aztecus,"Rozas, L. P., T. J. Minello and M. S. Miles",Effect of Deepwater Horizon oil on growth rates of juvenile penaid shrimps,Estuaries and Coasts,37,.,1403--1414,2014,http://link.springer.com/article/10.1007/s12237-013-9766-1,.,.
194,119,Shrimp,Brown Shrimp,Penaeus aztecus,"Craig, J. K and L. B. Crowder",Hypoxia-induced habitat shifts and energetic consequences in Atlantic croaker and brown shrimp on the Gulf of Mexico shelf,Marine Ecology Progress Series,294,.,79--94,2005,http://www.int-res.com/abstracts/meps/v294/p79-94/,.,.
195,7a,Shrimp,Brown Shrimp,Penaeus aztecus,"George, L. C. and W. E. Grant","A stochastic simulation model of brown shrimp (Penaeus aztecus Ives) growth, movement, and survival in Galveston Bay, Texas",Ecological Modelling,19,1,41--70,1983,http://www.sciencedirect.com/science/article/pii/0304380083900698,.,.
196,7b,Shrimp,Brown Shrimp,Penaeus aztecus,"Williams, A. B",Spotted and brown shrimp postlarvae (Penaeus) in North Carolina,Bulletin of Marine Science,9,3,281--290,1959,http://www.ingentaconnect.com/content/umrsmas/bullmar/1959/00000009/00000003/art00002,.,.
197,1,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Shaffer, R.V., and E.L. Nakamura",Synopsis of biological data on the cobia Rachycentron canadum (Pisces: Rachycentridae),FAO Fisheries Synopsis 153. NOAA Technical Report NMFS 82,.,.,21 pp,1989,http://spo.nwr.noaa.gov/tr82opt.pdf,.,.
198,2,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Ditty, J.G., and R.F. Shaw","Larval development, distribution, and ecology of cobia Rachycentron canadum (family: Rachycentridae) in the northern Gulf of Mexico",Fishery Bulletin,90,4,668--677,1992,.,.,.
199,3,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Finucane, J.H., L.A. Collins, and L.E. Barger","Ichthyoplankton/mackerel eggs and larvae. Environmental studies of the south Texas outer continental shelf, 1977. ",Final Report to the Bureau of Land Management by the National Marine Fisheries Service,.,.,.,1978,.,.,.
200,4,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Dawson, C.E","Occurrence and description of prejuvenile and early juvenile Gulf of Mexico cobia, Rachycentron canadum",Copeia,1971,.,65--71,1971,http://www.jstor.org/stable/1441599?seq=1#page_scan_tab_contents,.,.
201,5,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Benson, N.G",Life history requirements of selected finfish and shellfish in Mississippi Sound and adjacent areas,"U.S. Fish and Wildlife Service, Office of Biological Services",FWS/OBS-81/51,.,97 pp,1982,.,.,.
202,6,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Hoese, H.D., and R.H. Moore","Fishes of the Gulf of Mexico: Texas, Louisiana, and adjacent waters.","Texas A&M University Press, College Station, TX",.,.,327 pp,1977,http://repositories.tdl.org/tamug-ir/handle/1969.3/23807,.,.
203,7,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Parker, J.C",An annotated checklist of the fishes of the Galveston Bay system.,"Publications of the Institute of Marine Science, University of Texas",10,.,201--220,1965,http://repositories.tdl.org/tamug-ir/handle/1969.3/21904,.,.
204,8,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Swingle, H.A. 1971",Biology of Alabama estuarine areas - Cooperative Gulf of Mexico Estuarine Inventory,Alabama Marine Resources Bulletin,5,.,123 pp,1971,.,.,.
205,9,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Hardy, J.D., Jr","Development of fishes of the Mid-Atlantic Bight: An atlas of egg, larval and juvenile stages. Vol. III. Aphredoderidae through Rachycentridae","U.S. Fish and Wildlife Service, Biological Services Program",FWS/OBS 78/12,.,394 pp,1978,.,.,.
206,10,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Thompson, B.A., C.A. Wilson, J.H. Render, and M. Beasley","Age, growth, and reproductive biology of greater amberjack and cobia from Louisiana waters. ","Final report to Marine Fisheries Research Initiative (MARFIN) Program, NMFS, St. Petersburg, FL",.,.,55 pp,1992,.,.,.
207,11,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Franks, J.S. and T.M. McBee",Age and growth,In: Investigations of the cobia (Rachycentron canadum) in Mississippi marine waters and adjacent Gulf waters,.,.,1-1--1-60,1991,.,"J.S. Franks, T.D. McIlwain, R. M. Overstreet, J.T. McBee, J.M. Lotz, and G. Meyer (eds.)","Final Report to Mississippi Department of Wildlife, Fisheries, and Parks/Bureau of Marine Resources and U.S. Fish and Wildlife Service"
208,12,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Springer, S., and H.R. Bullis, Jr",Collections by the Oregon in the Gulf of Mexico. ,U. S. Fish and Wildlife Service Special Scientific Report-Fisheries,.,.,134 pp,NA,http://repositories.tdl.org/tamug-ir/handle/1969.3/19010,.,.
209,13,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Franks, J.S., N.M. Garber, and J.R. Warren","Stomach contents of juvenile cobia, Rachycentron canadum, from the northern Gulf of Mexico",Fishery Bulletin,94,.,374--380,1996,.,.,.
210,14,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Boschung, H.T., Jr",The fishes of Mobile Bay and the Gulf coast of Alabama,"Ph.D. dissertation. University of Alabama, Tuscaloosa, AL",.,.,633 pp,NA,.,.,.
211,15,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Franks, J.S., M.H. Zuber, and T.D. McIlwain","Trends in seasonal movements of cobia, Rachycentron canadum, tagged and released in the northern Gulf of Mexico",Journal of the Mississippi Academy of Sciences,36,1,55 pp,1991,.,.,.
212,16,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Biesiot, P.M., R.M. Caylor, and J.S. Franks","Biochemical and histological changes during ovarian development of cobia, Rachycentron canadum, from the northern Gulf of Mexico",Fishery Bulletin,92,4,686--696,1994,http://aquila.usm.edu/fac_pubs/6572/,.,.
213,17,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Lotz, J.M., R.M. Overstreet, and J.S. Franks","Gonadal maturation in the cobia, Rachycentron canadum, from the northcentral Gulf of Mexico",Gulf and Caribbean Research,9,3,147--159,1996,http://aquila.usm.edu/gcr/vol9/iss3/1/,.,.
214,18,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Caylor, R.E., P.M. Biesiot and J.S. Franks",Culture of cobia (Rachycentron canadum): cryopreservation of sperm and induced spawning,Aquaculture,125,1--2,81--92,1994,http://www.sciencedirect.com/science/article/pii/0044848694902852,.,.
215,19,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Meyer, G.H., and J.S. Franks","Food of cobia, Rachycentron canadum, from the northcentral Gulf of Mexico",Gulf and Caribbean Research,9,3,161--167,1996,http://aquila.usm.edu/gcr/vol9/iss3/2/,.,.
216,20,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Knapp, F.T","Food habits of the sergeantfish, Rachycentron canadus",Copeia,1951,1,101--102,1951,.,.,.
217,21,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Miles, D.W",A study of the food habits of the fishes of the Aransas Bay area,"M.S. thesis. University of Houston, Houston, TX",.,.,70 pp,1949,.,.,.
218,22,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Reid, G.K., Jr","An ecological study of the Gulf of Mexico fishes, in the vicinity of Cedar Key, Florida",Bulletin of Marine Science,4,1,1--12,NA,http://www.ingentaconnect.com/content/umrsmas/bullmar/1954/00000004/00000001/art00001,.,.
219,23,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Springer, V.G., and K.D. Woodburn",An ecological study of the fishes of the Tampa Bay area,"Professional Papers Series 1, Florida Board of Conservation Marine Laboratory",.,.,104 pp,NA,http://www.nativefishlab.net/library/textpdf/11938.pdf,.,.
220,24,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Christmas, J.Y., and R.S. Waller",Investigations of coastal pelagic fishes,Completion Report,Project 2-128-R,.,.,1974,.,.,"Gulf Coast Research Laboratory, Ocean Springs, MS"
221,25,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Ryder, J","On development of osseus fishes, including marine and freshwater forms","U.S. Fish Commission, Report of the Commissioner for 1885",.,.,489--604,NA,.,.,.
222,26,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Joseph, E.B., J.J. Norcross, and W.H. Massmann","Spawning of the cobia, Rachycentron canadum, in the Chesapeake Bay area, with observations of juvenile specimens",Chesapeake Science,5,1--2,67--71,NA,http://link.springer.com/article/10.2307/1350791,.,.
223,27,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Richards, C.E","Age, growth and fecundity of the cobia, Rachycentron canadum, from Chesapeake Bay and adjacent mid-Atlantic waters",Transactions of the American Fisheries Society,96,3,343--350,1967,http://www.tandfonline.com/doi/abs/10.1577/1548-8659(1967)96%5B343%3AAGAFOT%5D2.0.CO%3B2,.,.
224,28,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Hassler, W.W., and R.P. Rainville","Techniques for hatching and rearing cobia, Rachycentron canadum, through larval and juvenile stages",.,Publication UNC-SG-75-30,.,26 pp,1975,.,.,"University of North Carolina Sea Grant College Program, Raleigh NC"
225,30,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Christensen, R.F","An ichthyological survey of Jupiter Inlet and Loxahatchee River, Florida","M.S. thesis. Florida State University, Tallahassee, FL",.,.,318 pp,1965,.,.,.
226,31,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Wilk, S.J., and M.J. Silverman",Fish and hydrographic collections made by the research vessels Dolphin and Delaware II during 1968-72 from New York to Florida,NOAA Technical Report,NMFS-SSRF-697,.,.159 pp,1976,.,.,.
227,32,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Milstein, C.B., and D.L Thomas",Fishes new or uncommon to the New Jersey coast,Chesapeake Science,17,3,198--204,1976,http://link.springer.com/article/10.2307/1351198,.,.
228,33,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Linton, E","Parasites of fishes of Beaufort, North Carolina","U.S. Bureau of Fisheries, U.S. Fish Commission",24,.,321--428,NA,.,.,.
229,34,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Richards, C.E",Cobia (Rachycentron canadum) tagging within Chesapeake Bay and updating of growth equations,Chesapeake Science,18,3,310--311,1977,http://link.springer.com/article/10.2307/1350806,.,.
230,35,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Smith, J.W","Life history of Cobia, Rachycentron canadum (Osteichthyes: Rachycentridae), in North Carolina waters",Brimleyana,23,.,1--23,1995,.,.,.
231,36,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Smith, H.M",The fishes of North Carolina,North Carolina Geological and Economic Survey,2,.,453 pp,NA,.,.,.
232,37,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Rose, C.D","The biology and catch distribution of the dolphin, Coryphaena hippurus (Linnaeus), in North Carolina waters","Ph.D. dissertation. N.C. State University, Raleigh, NC",.,.,153 pp,1965,.,.,.
233,38,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,"Rooker, J. R., R. L. Hill, T. M. Dellapenna and R. T. Kraus",Assessment of mid and outer shelf banks in the NW Gulf of Mexico as essential habitat of reef fishes and corals,2004 Final Report to NOAA,.,.,23 pp,2004,http://www.researchgate.net/publication/266035608,.,.
234,39,Coastal Migratory Pelagics,Cobia,Rachycentron canadum,SEDAR 28,Stock assessment report of SEDAR 28 Gulf of Mexico cobia,.,.,.,.,NA,http://sedarweb.org/sedar-28-stock-assessment-report-gulf-mexico-cobia,.,"Southeast Data, Assessment, and Review. North Charleston, South Carolina"
235,1,Reef Fish,Cubera Snapper,Lutjanus cyanopterus,"Domeier, M.L., C. Koenig and F. Coleman",Reproductive biology of the gray snapper (Lutjanus griseus) with notes on spawning for other Western Atlantic snappers (Lutjanidae),In: Biology and Culture of Tropical Groupers and Snappers,.,.,189--201,1997,.,"F. Arreguin-Sanchez, J.L. Munro, M.C. Balgos, and D. Pauly (eds.)",International Center for Living Aquatic Resources Management Conference Proceedings 48
236,2,Reef Fish,Cubera Snapper,Lutjanus cyanopterus,"Allen, G.R",FAO species catalogue vol. 6 snappers of the world: An annotated and illustrated catalogue of Lutjanid species known to date,FAO Fisheries Synopsis,125,6,208 pp,1985,.,.,.
237,3,Reef Fish,Cubera Snapper,Lutjanus cyanopterus,"Carrio, E.G., A.B. Mendez, R.S. Mulkay and R.L. Rueda","Alimentación natural de tres especies de pargos (Pisces: Lutjanidae) en el Archipiélago de los Canarreos, Cuba",Revista de investigaciones marinas,15,1,63--72,1994,.,.,.
238,4,Reef Fish,Cubera Snapper,Lutjanus cyanopterus,"Moe, M.A. Jr",First Gulf of Mexico record for Lutjanus cyanopterus,Quarterly Journal of the Florida Academy of Sciences,29,4,285--286,NA,.,.,.
239,5,Reef Fish,Cubera Snapper,Lutjanus cyanopterus,"Christensen, R.F","An ichthyological survey of Jupiter Inlet and Loxahatchee River, Florida. Unpubl",M.S. thesis. Florida State University,.,.,318 pp,1965,.,.,.
240,6,Reef Fish,Cubera Snapper,Lutjanus cyanopterus,"Diaz-Ruiz, S., A. Aguirre-Leon, C. Macuitl, and O. Perez",Seasonal patterns of distribution and abundance of snappers in the Mexican Caribbean,"In: Biology, Fisheries and Culture of Tropical Groupers and Snappers",.,.,449 pp,1996,.,"F. Arreguin Sanchez, J.L. Munro, M.C. Balgos and D. Pauly (eds.)",International Center for Living Aquatic Resources Management Conference Proceedings 48
241,7,Reef Fish,Cubera Snapper,Lutjanus cyanopterus,"Rivas, L. R. ","Cubera snapper, Lutjanus cyanopterus",In: McClane's Standard Fishing Encyclopedia and International Angling Guide,.,.,.,1965,.,A. J. McClane (ed.),"Holt, Rinehard, and Winston, New York"
242,8,Reef Fish,Cubera Snapper,Lutjanus cyanopterus,"Heyman, W. D., B. Kjerfve, R. T. Graham, K. L. Rhodes and L. Garbutt",Spawning aggregations of Lutjanus cyanopterus (Cuvier) on the Belize Barrier Reef over a 6 year period,Journal of Fish Biology,67,.,83--101,2005,http://onlinelibrary.wiley.com/doi/10.1111/j.0022-1112.2005.00714.x/abstract,.,.
243,9,Reef Fish,Cubera Snapper,Lutjanus cyanopterus,"Kadison, E., R. S. Nemeth, S. Herzlieb and J. Blondeau ",Temporal and spatial dynamics of Lutjanus cyanopterus (Pisces: Lutjanidae) and L. jocu spawning aggregations in the United States Virgin Islands,Revista de Biología Tropical,54,.,69--78,2006,http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442006000600012,.,.
244,10,Reef Fish,Cubera Snapper,Lutjanus cyanopterus,"Domeier, M. L. and P. L. Colin",Tropical reef fish spawning aggregations: Defined and reviewed,Bulletin of Marine Science,60,3,698--726,1997,http://www.ingentaconnect.com/content/umrsmas/bullmar/1997/00000060/00000003/art00006,.,.
245,1,Reef Fish,Gag,Mycteroperca microlepis,"Beaumariage, D.S., and L.H. Bullock",Biological research on snappers and groupers as related to fishery management requirements,Florida Sea Grant Program Report,17,.,86--94,1976,.,.,.
246,2,Reef Fish,Gag,Mycteroperca microlepis,"Bullock, L.H., and G.B. Smith",Seabasses (Pisces: Serranidae),"Florida Marine Research Institute, Memoirs from the Hourglass Cruises",8,2,243 pp,1991,.,.,.
247,3,Reef Fish,Gag,Mycteroperca microlepis,"Christensen, R.F","An ichthyological survey of Jupiter Inlet and Loxahatchee River, Florida",M.S. thesis. Florida State University,.,.,318 pp,1965,.,.,.
248,4,Reef Fish,Gag,Mycteroperca microlepis,"Coleman, F.C., C.C. Koenig, and L.A. Collins",Reproductive styles of shallow-water groupers (Pisces: Serranidae) in the eastern Gulf of Mexico and the consequences of fishing spawning aggregations,Environmental Biology of Fishes,47,2,129--141,1996,http://link.springer.com/article/10.1007/BF00005035,.,.
249,5,Reef Fish,Gag,Mycteroperca microlepis,"Collins, M.R., C.W. Waltz, W.A. Roumillat, and D.L. Stubbs","Contribution to the life history and reproductive biology of gag, Mycteroperca microlepis (serrandidae), in the South Atlantic bight",Fishery Bulletin,85,3,648--653,1987,http://dc.statelibrary.sc.gov/handle/10827/10549,.,.
250,6,Reef Fish,Gag,Mycteroperca microlepis,GMFMC,Final environmental impact statement for the reef fish fishery of the Gulf of Mexico. Section 4,"Gulf of Mexico Fishery Management Council, Tampa, FL",.,.,.,1981,.,.,.
251,7,Reef Fish,Gag,Mycteroperca microlepis,"Hardy, J.D., Jr","Development of fishes of the Mid-Atlantic Bight. An atlas of egg, larval and juvenile stages","U.S. Fish and Wildlife Service, Biological Service Program 78/12",3,.,64--66,1978,,,
252,8,Reef Fish,Gag,Mycteroperca microlepis,"Heemstra, P.C., and J.E. Randall",FAO species catalogue vol. 16 groupers of the world ,FAO Fisheries Synopsis,125,.,269--270,1993,.,.,.
253,9,Reef Fish,Gag,Mycteroperca microlepis,"Hood, P.B., and R.A. Schlieder","Age, growth, and reproduction of gag, Mycteroperca microlepis (Pisces: Serranidae), in the eastern Gulf of Mexico",Bulletin of Marine Science,51,3,337--352,1992,http://www.ingentaconnect.com/content/umrsmas/bullmar/1992/00000051/00000003/art00007,.,.
254,10,Reef Fish,Gag,Mycteroperca microlepis,"Keener, P., G.D. Johnson, B.W. Stender, E.B. Brothers, and H.R. Beatty","Ingress of postlarval gag, Mycteroperca microlepis (Pisces: Serranidae), through a South Carolina barrier island inlet",Bulletin of Marine Science,42,3,376--396,1988,http://www.ingentaconnect.com/content/umrsmas/bullmar/1988/00000042/00000003/art00004,.,.
255,11,Reef Fish,Gag,Mycteroperca microlepis,"Lindall, W.N., Jr., J.R. Hall, W.A. Fable, Jr., and L.A. Collins","A survey of fishes and commercial invertebrates of the nearshore and estuarine zone between Cape Romano and Cape Sable, Florida","U.S. Department of Commerce, National Marine Fisheries Service",.,.,62 pp,1973,.,.,.
256,12,Reef Fish,Gag,Mycteroperca microlepis,"Low, R.A., and G.F. Ulrich",Reef fishes and associated management issues in South Carolina,"South Carolina Wildlife and Marine Resources Department, Educational Report",14,.,49 pp,1982,.,.,.
257,13,Reef Fish,Gag,Mycteroperca microlepis,"McErlean, A.J","A study of the age and growth of the gag, Mycteroperca microlepis Goode and Bean (Pisces: Serranidae) on the west coast of Florida",Florida Board of Conservation Marine Laboratory Technical Series,41,.,29 pp,1963,.,.,.
258,14,Reef Fish,Gag,Mycteroperca microlepis,"McErlean, A.J., and C. Lavett Smith",The age of sexual succession in the protogynous hermaphrodite Mycteroperca microlepis,Transactions of the American Fisheries Society,93,3,301--302,1964,http://www.tandfonline.com/doi/abs/10.1577/1548-8659%281964%2993%5B301%3ATAOSSI%5D2.0.CO%3B2?journalCode=utaf20,.,.
259,15,Reef Fish,Gag,Mycteroperca microlepis,"Mullaney, M.D., Jr","Ontogenetic shifts in diet of gag, Mycteroperca microlepis,(Goode and Bean),(Pisces: Serranidae)",Proceedings of the 43rd Gulf and Caribbean Fisheries Institute,43,.,432--445,1994,.,.,.
260,16,Reef Fish,Gag,Mycteroperca microlepis,"Naughton, S.P., and C.H. Saloman",Food of gag (Mycteroperca microlepis) from North Carolina and three areas of Florida,NOAA Technical Memorandum,NMFS-SEFC-160,.,36 pp,1985,.,.,.
261,17,Reef Fish,Gag,Mycteroperca microlepis,"Reid, G.K., Jr","A study of the gulf fishes in the vicinity of Cedar Key, Florida",Ph.D. dissertation. University of Florida,.,.,235 pp,1952,.,.,.
262,18,Reef Fish,Gag,Mycteroperca microlepis,"Roberts, D.E., Jr., C.W. Dennis, G. Harrington, and A. Burke","Captive broodstock maintenance and photothermal induction of gonadal maturation in gag, Mycteroperca microlepis and jewfish, Epinephelus itajara, for controlled production of fry",Proceedings of the 43rd Gulf and Caribbean Fisheries Institute,43,.,429--430,1994,.,.,.
263,19,Reef Fish,Gag,Mycteroperca microlepis,"Roberts, D.E., Jr., and R.A. Schlieder","Induced sex inversion, maturation, spawning and embryogeny of the protogynous grouper, Mycteroperca microlepis",Journal of the World Mariculture Society,14,1--4,637--649,1983,http://onlinelibrary.wiley.com/doi/10.1111/j.1749-7345.1983.tb00116.x/abstract,.,.
264,20,Reef Fish,Gag,Mycteroperca microlepis,"Roe, R. B",Distribution of snappers and groupers in the Gulf of Mexico and Caribbean Sea as determined from exploratory fishing data,Florida Sea Grant Program Report,17,.,129--164,1976,.,.,.
265,21,Reef Fish,Gag,Mycteroperca microlepis,"Ross, S.W., and M.L. Moser","Life history of juvenile gag, Mycteroperca microlepis, in North Carolina estuaries",Bulletin of marine science,56,1,222--237,1995,http://www.ingentaconnect.com/content/umrsmas/bullmar/1995/00000056/00000001/art00014,.,.
266,22,Reef Fish,Gag,Mycteroperca microlepis,"Smith, G.B",Ecology and distribution of mid-eastern Gulf of Mexico reef fishes,"Ph.D. dissertation. University of South Florida, Tampa, FL",.,.,93 pp,1978,.,.,.
267,23,Reef Fish,Gag,Mycteroperca microlepis,"Weaver, D.C",Feeding ecology and ecomorphology of three sea basses (Pisces: Serranidae) in the northeastern Gulf of Mexico,M.S. thesis. University of Florida,.,.,93 pp,1996,.,.,.
268,24,Reef Fish,Gag,Mycteroperca microlepis,"Koenig, C.C",personal communication,"National Marine Fisheries Service, Panama City, FL",.,.,.,.,.,.,.
269,25,Reef Fish,Gag,Mycteroperca microlepis,"Koenig, C.C., F.C. Coleman, L.A. Collins, Y. Sadovy, and P.L. Colin",Reproduction in gag (Mycteroperca microlepis)(Pisces: Serranidae) in the eastern Gulf of Mexico and the consequences of fishing spawning aggregations,"In: Biology, Fisheries, and Culture of Tropical Groupers and Snappers",.,.,307--323,1996,.,"F. Arreguin-Sanchez, J. L. Munro, M. C. Balgos and D. Pauly (eds.)",The International Center for Living Aquatic Resources Management Conference Proceedings 48
270,26,Reef Fish,Gag,Mycteroperca microlepis,"Johnson, A.G., M.S. Baker, Jr., and L.A. Collins",Preliminary examination of undersized grouper bycatch,Proceedings of the 49th Gulf and Caribbean Fisheries Institute,49,.,161--172,1997,http://aquaticcommons.org/12977/,.,.
271,27,Reef Fish,Gag,Mycteroperca microlepis,"Collins, L.A., A.G. Johnson, C.C. Koenig, and M.S. Baker, Jr","Reproductive patterns, sex ratio, and fecundity in gag, Mycteroperca microlepis (Serranidae) a protogynous grouper from the northeastern Gulf of Mexico",Fishery Bulletin,96,.,415--427,1998,https://www.sciencebase.gov/catalog/item/5053c1a5e4b097cd4fcef9c8,.,.
272,28,Reef Fish,Gag,Mycteroperca microlepis,"Koenig, C.C., and F.C. Coleman",Absolute abundance and survival of juvenile gags in sea grass beds of the northeastern Gulf of Mexico,Transactions of the American Fisheries Society,127,1,44--55,1998,http://www.tandfonline.com/doi/abs/10.1577/1548-8659(1998)127%3C0044%3AAAASOJ%3E2.0.CO%3B2,.,.
273,29,Reef Fish,Gag,Mycteroperca microlepis,"Johnson, A.G., L.A. Collins and J.J. Isley","Age-size structure of gag, Mycteroperca microlepis, from the northeastern Gulf of Mexico",Northeast Gulf Science,13,1,59--63,1993,.,.,.
274,30,Reef Fish,Gag,Mycteroperca microlepis,"Coleman, F. C., K. M. Scanlon and C. C. Koenig",Groupers on the edge: shelf edge spawning habitat in and around marine reserves of the northeastern Gulf of Mexico,The Professional Geographer,63,4,456--474,2011,https://www.sciencebase.gov/catalog/item/505a2ddae4b0c8380cd5c0aa,.,.
275,31,Reef Fish,Gag,Mycteroperca microlepis,"Fitzhugh, G. R., C. C. Koenig, F. C. Coleman, C. B. Grimes and W. Sturges III",Spatial and temporal patterns in fertilization and settlement of young gag (Mycteroperca microlepis) along the West Florida Shelf,Bulletin of Marine Science,77,3,377--396,2005,http://www.ingentaconnect.com/content/umrsmas/bullmar/2005/00000077/00000003/art00004,.,.
276,32,Reef Fish,Gag,Mycteroperca microlepis,"Casey, J. P., G. R. Poulakis and P. W. Stevens ","Habitat use by juvenile gag, Mycteroperca microlepis (Pisces: Serranidae), in subtropical Charlotte Harbor, Florida (USA)",Gulf and Caribbean Research,19,.,1--9,2007,https://www.researchgate.net/publication/236174465_Habitat_Use_by_Juvenile_Gag_Mycteroperca_microlepis_Pisces_Serranidae_in_Subtropical_Charlotte_Harbor_Florida_USA,.,.
277,33,Reef Fish,Gag,Mycteroperca microlepis,"Lukens, R. R",Ichthyofaunal colonization of a new artificial reef in the northern Gulf of Mexico,Gulf Research Reports,7,1,41--46,1981,http://aquila.usm.edu/gcr/vol7/iss1/6,.,.
278,34,Reef Fish,Gag,Mycteroperca microlepis,"Kiel, B. L","Homing and spatial use of gag grouper, Mycteroperca microlepis",M.S. thesis. University of Florida,.,.,79 pp,2004,http://etd.fcla.edu/UF/UFE0007040/kiel_b.pdf,.,.
279,35,Reef Fish,Gag,Mycteroperca microlepis,SEDAR 33,Stock assessment report of SEDAR 33 Gulf of Mexico gag grouper,.,.,.,.,2014,http://sedarweb.org/sedar-33-stock-assessment-report-gulf-mexico-gag-grouper,.,"Southeast Data, Assessment, and Review. North Charleston, South Carolina"
280,1,Reef Fish,Goldface Tilefish,Caulolatilus chrysops,"Churchill, D. A","Investigating trophic interactions of deep-sea animals (sharks, teleosts, and mobile scavengers) in the Gulf of Mexico using stable isotope analysis",Ph.D. dissertation. Florida International University,.,.,170 pp,2015,http://digitalcommons.fiu.edu/cgi/viewcontent.cgi?article=3153&context=etd,.,.
281,2,Reef Fish,Goldface Tilefish,Caulolatilus chrysops,"Dooley, J. K","Systematics and biology of the tilefishes (Perciformes: Branchiostegidae and Malacanthidae), with descriptions of two new species",NOAA Technical Report,411,.,79 pp,1978,http://spo.nmfs.noaa.gov/Circulars/CIRC411.pdf,.,.
282,3,Reef Fish,Goldface Tilefish,Caulolatilus chrysops,"Lumsden, S. E., T. F. Hourigan, A. W. Bruckner and G. Dorr (eds.)",State of Deep Coral Ecosystems of the United States,NOAA Technical Memorandum,CRCP-3,.,365 pp,2007,http://www.coris.noaa.gov/activities/deepcoral_rpt/,.,.
283,1,Reef Fish,Goliath Grouper,Epinephelus itajara,"Bullock, L.H., M.D. Murphy, M.F. Godcharles, and M.E. Mitchell","Age, growth, and reproduction of jewfish Epinephelus itajara in the eastern Gulf of Mexico.",Fishery Bulletin,90,.,243--249,1992,http://m.myfwc.com/media/2925245/goliath_grouper_g.pdf,.,.
284,2,Reef Fish,Goliath Grouper,Epinephelus itajara,"Bullock, L.H., and G.B. Smith",Seabasses (Pisces: Serranidae),"Florida Marine Research Institute, Memoirs from the Hourglass Cruises",8,2,243 pp,1991,.,.,.
285,3,Reef Fish,Goliath Grouper,Epinephelus itajara,"Carpenter, J.S. and W.R. Nelson",Fishery potential for snapper and grouper in the Caribbean area and the Guianas,In: Symposium on investigations and resources of the Caribbean Sea and adjacent regions,71,.,149 pp,1971,.,.,FAO
286,4,Reef Fish,Goliath Grouper,Epinephelus itajara,"Colin, P.L","Preliminary investigations of reproductive activity of the jewfish, Epinephelus itajara (Pisces: Serranidae)",Proceedings of the 43rd Gulf and Caribbean Fisheries Institute,43,.,138--147,1994,http://sedarweb.org/docs/wsupp/SEDAR23_RD_23_Colin_gcfi43.pdf,.,.
287,5,Reef Fish,Goliath Grouper,Epinephelus itajara,"Dennis, G.D., D. Goulet and J.R. Rooker",Ichthyoplankton assemblages sampled by night lighting in nearshore habitats of southwestern Puerto Rico,In: Larval fish recruitment and research in the Americas: Proceedings of the 13th Annual Larval Fish Conference,95,.,.,1991,http://spo.nwr.noaa.gov/tr95opt.pdf,R. D. Hoyt (ed.),NOAA Technical Report NMFS
288,6,Reef Fish,Goliath Grouper,Epinephelus itajara,"Heemstra, P.C., and J.E. Randall","FAO species catalogue, vol. 16. Groupers of the world",FAO Fisheries Symposium,125,.,171--172,1993,.,.,.
